return_id,order_id,product_name,customer_name,return_date,reason,quantity_returned,refund_amount
RET-46048,CA-2015-121720,Fellowes High-Stak Drawer Files,Jim Epp,2023-12-04,Wrong Item,1,113.47
RET-98696,CA-2017-128160,Deluxe Heavy-Duty Vinyl Round Ring Binder,Michael Moore,2026-05-29,Defective,1,17.37
RET-22280,CA-2016-119935,3M Polarizing Light Filter Sleeves,Kalyca Meade,2025-04-15,Wrong Item,2,30.08
RET-83563,CA-2015-117415,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Steve Nguyen,2024-06-06,Wrong Item,3,490.02
RET-64987,CA-2017-167003,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Vivek Sundaresam,2025-11-17,Wrong Item,3,161.06
RET-10851,CA-2017-158876,"Boston School Pro Electric Pencil Sharpener, 1670",Aimee Bixby,2026-05-06,Wrong Item,3,71.52
RET-30379,CA-2016-127243,Wireless Extenders zBoost YX545 SOHO Signal Booster,David Smith,2025-05-23,Wrong Item,2,196.86
RET-59797,CA-2017-121559,Cardinal Slant-D Ring Binders,Helen Wasserman,2025-11-28,Damaged,2,14.26
RET-15695,US-2016-105578,Vinyl Sectional Post Binders,Maribeth Yedwab,2024-11-13,Changed Mind,2,20.83
RET-59615,CA-2015-106978,Staples,Zuschuss Carroll,2024-03-19,Damaged,1,1.5
RET-91070,CA-2015-111990,Wilson Jones Leather-Like Binders with DublLock Round Rings,Duane Benoit,2024-04-28,Not as Described,3,5.06
RET-16006,CA-2016-127775,Razer Kraken PRO Over Ear PC and Music Headset,Erica Smith,2024-12-02,Wrong Item,1,75.26
RET-40512,CA-2016-160220,Woodgrain Magazine Files by Perma,Joy Smith,2025-04-16,Damaged,3,8.91
RET-57819,US-2016-109260,LogitechÂ VX Revolution Cordless Laser Mouse for Notebooks (Black),Tanja Norvell,2025-03-13,Wrong Item,2,256.5
RET-44993,US-2017-100048,Nortel Meridian M3904 Professional Digital phone,Roland Schwarz,2025-11-02,Damaged,2,259.29
RET-42087,US-2015-110569,Fellowes Superior 10 Outlet Split Surge Protector,Emily Burns,2023-11-14,Wrong Item,2,55.22
RET-93886,CA-2016-154767,Xerox 1960,Becky Pak,2024-12-15,Defective,2,52.91
RET-17331,US-2017-107384,Newell 310,Theone Pippenger,2026-05-14,Wrong Item,3,5.11
RET-62581,CA-2015-122287,Peel & Stick Add-On Corner Pockets,Skye Norling,2023-12-17,Not as Described,1,0.62
RET-84341,CA-2017-139311,Pyle PMP37LED,Sylvia Foulston,2026-01-16,Not as Described,1,75.46
RET-94259,CA-2015-121720,Hon 2090 ÂPillow SoftÂ Series Mid Back Swivel/Tilt Chairs,Jim Epp,2023-11-20,Changed Mind,4,790.45
RET-83579,CA-2014-156314,"Master Giant Foot Doorstop, Safety Yellow",Resi PÃ¶lking,2023-05-31,Defective,3,15.08
RET-86484,CA-2017-110884,3M Organizer Strips,Shahid Hopkins,2025-08-18,Changed Mind,6,23.77
RET-28131,US-2017-148054,36X48 HARDFLOOR CHAIRMAT,Nick Zandusky,2026-03-20,Defective,1,20.97
RET-24371,CA-2017-131492,"Linden 10"" Round Wall Clock, Black",Hilary Holden,2026-04-06,Wrong Item,1,14.53
RET-65333,CA-2017-119004,Speck Products Candyshell Flip Case,Janet Martin,2026-05-16,Defective,1,26.83
RET-71348,CA-2016-137848,Xerox 1959,William Brown,2024-06-20,Defective,7,40.98
RET-25014,CA-2017-158883,Things To Do Today Spiral Book,Cari Schnelling,2025-11-13,Defective,1,5.93
RET-54587,CA-2017-134439,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Tamara Manning,2026-03-17,Damaged,2,15.22
RET-10425,CA-2017-131954,LogitechÂ Illuminated - Keyboard,Darrin Sayre,2025-07-03,Not as Described,2,99.78
RET-23947,CA-2016-157280,Microsoft Natural Ergonomic Keyboard 4000,Liz Willingham,2025-04-24,Not as Described,1,27.04
