return_id,order_id,customer_name,return_date,reason,quantity_returned,refund_amount,product_name
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Study Table
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Calculator
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Curtain
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Asus Laptop
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Earphones
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Bedsheet
RET-46048,CA-2015-121720,Jim Epp,2023-12-04,Wrong Item,1,113.47,Office Desk
RET-98696,CA-2017-128160,Michael Moore,2026-05-29,Defective,1,17.37,Office Desk
RET-22280,CA-2016-119935,Kalyca Meade,2025-04-15,Wrong Item,2,30.08,Wallet
RET-22280,CA-2016-119935,Kalyca Meade,2025-04-15,Wrong Item,2,30.08,Tape Dispenser
RET-83563,CA-2015-117415,Steve Nguyen,2024-06-06,Wrong Item,3,490.02,Bedsheet
RET-83563,CA-2015-117415,Steve Nguyen,2024-06-06,Wrong Item,3,490.02,Mirror
RET-83563,CA-2015-117415,Steve Nguyen,2024-06-06,Wrong Item,3,490.02,OnePlus Phone
RET-83563,CA-2015-117415,Steve Nguyen,2024-06-06,Wrong Item,3,490.02,File Folder
RET-64987,CA-2017-167003,Vivek Sundaresam,2025-11-17,Wrong Item,3,161.06,Study Table
RET-10851,CA-2017-158876,Aimee Bixby,2026-05-06,Wrong Item,3,71.52,Marker
RET-10851,CA-2017-158876,Aimee Bixby,2026-05-06,Wrong Item,3,71.52,Side Table
RET-10851,CA-2017-158876,Aimee Bixby,2026-05-06,Wrong Item,3,71.52,Electric Kettle
RET-10851,CA-2017-158876,Aimee Bixby,2026-05-06,Wrong Item,3,71.52,Recliner Chair
RET-30379,CA-2016-127243,David Smith,2025-05-23,Wrong Item,2,196.86,Asus Laptop
RET-30379,CA-2016-127243,David Smith,2025-05-23,Wrong Item,2,196.86,Jeans
RET-30379,CA-2016-127243,David Smith,2025-05-23,Wrong Item,2,196.86,Shirt
RET-30379,CA-2016-127243,David Smith,2025-05-23,Wrong Item,2,196.86,Curtain
RET-30379,CA-2016-127243,David Smith,2025-05-23,Wrong Item,2,196.86,Electric Kettle
RET-59797,CA-2017-121559,Helen Wasserman,2025-11-28,Damaged,2,14.26,Bookshelf
RET-59797,CA-2017-121559,Helen Wasserman,2025-11-28,Damaged,2,14.26,Pillow
RET-59797,CA-2017-121559,Helen Wasserman,2025-11-28,Damaged,2,14.26,Lenovo Laptop
RET-59797,CA-2017-121559,Helen Wasserman,2025-11-28,Damaged,2,14.26,Sneakers
RET-59797,CA-2017-121559,Helen Wasserman,2025-11-28,Damaged,2,14.26,Cabinet
RET-15695,US-2016-105578,Maribeth Yedwab,2024-11-13,Changed Mind,2,20.83,Formal Shoes
RET-15695,US-2016-105578,Maribeth Yedwab,2024-11-13,Changed Mind,2,20.83,Highlighter
RET-15695,US-2016-105578,Maribeth Yedwab,2024-11-13,Changed Mind,2,20.83,Sticky Notes
RET-15695,US-2016-105578,Maribeth Yedwab,2024-11-13,Changed Mind,2,20.83,Earphones
RET-15695,US-2016-105578,Maribeth Yedwab,2024-11-13,Changed Mind,2,20.83,Dell Laptop
RET-59615,CA-2015-106978,Zuschuss Carroll,2024-03-19,Damaged,1,1.5,Bluetooth Speaker
RET-59615,CA-2015-106978,Zuschuss Carroll,2024-03-19,Damaged,1,1.5,Study Table
RET-59615,CA-2015-106978,Zuschuss Carroll,2024-03-19,Damaged,1,1.5,Jacket
RET-91070,CA-2015-111990,Duane Benoit,2024-04-28,Not as Described,3,5.06,Bookshelf
RET-16006,CA-2016-127775,Erica Smith,2024-12-02,Wrong Item,1,75.26,Side Table
RET-40512,CA-2016-160220,Joy Smith,2025-04-16,Damaged,3,8.91,Jacket
RET-40512,CA-2016-160220,Joy Smith,2025-04-16,Damaged,3,8.91,Register
RET-40512,CA-2016-160220,Joy Smith,2025-04-16,Damaged,3,8.91,Curtain
RET-57819,US-2016-109260,Tanja Norvell,2025-03-13,Wrong Item,2,256.5,T-Shirt
RET-44993,US-2017-100048,Roland Schwarz,2025-11-02,Damaged,2,259.29,Asus Laptop
RET-44993,US-2017-100048,Roland Schwarz,2025-11-02,Damaged,2,259.29,Jeans
RET-44993,US-2017-100048,Roland Schwarz,2025-11-02,Damaged,2,259.29,Highlighter
RET-42087,US-2015-110569,Emily Burns,2023-11-14,Wrong Item,2,55.22,Office Chair
RET-42087,US-2015-110569,Emily Burns,2023-11-14,Wrong Item,2,55.22,Dinner Set
RET-93886,CA-2016-154767,Becky Pak,2024-12-15,Defective,2,52.91,Coffee Table
RET-93886,CA-2016-154767,Becky Pak,2024-12-15,Defective,2,52.91,Toaster
RET-93886,CA-2016-154767,Becky Pak,2024-12-15,Defective,2,52.91,Headphones
RET-93886,CA-2016-154767,Becky Pak,2024-12-15,Defective,2,52.91,HP Laptop
RET-93886,CA-2016-154767,Becky Pak,2024-12-15,Defective,2,52.91,Shirt
RET-17331,US-2017-107384,Theone Pippenger,2026-05-14,Wrong Item,3,5.11,Storage Container
RET-17331,US-2017-107384,Theone Pippenger,2026-05-14,Wrong Item,3,5.11,Formal Shoes
RET-17331,US-2017-107384,Theone Pippenger,2026-05-14,Wrong Item,3,5.11,Bedsheet
RET-62581,CA-2015-122287,Skye Norling,2023-12-17,Not as Described,1,0.62,Samsung Galaxy Phone
RET-62581,CA-2015-122287,Skye Norling,2023-12-17,Not as Described,1,0.62,Highlighter
RET-62581,CA-2015-122287,Skye Norling,2023-12-17,Not as Described,1,0.62,Sticky Notes
RET-62581,CA-2015-122287,Skye Norling,2023-12-17,Not as Described,1,0.62,Headphones
RET-84341,CA-2017-139311,Sylvia Foulston,2026-01-16,Not as Described,1,75.46,Dress
RET-84341,CA-2017-139311,Sylvia Foulston,2026-01-16,Not as Described,1,75.46,Study Chair
RET-84341,CA-2017-139311,Sylvia Foulston,2026-01-16,Not as Described,1,75.46,Storage Container
RET-84341,CA-2017-139311,Sylvia Foulston,2026-01-16,Not as Described,1,75.46,MacBook
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Study Table
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Calculator
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Curtain
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Asus Laptop
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Earphones
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Bedsheet
RET-94259,CA-2015-121720,Jim Epp,2023-11-20,Changed Mind,4,790.45,Office Desk
RET-83579,CA-2014-156314,Resi P̦lking,2023-05-31,Defective,3,15.08,Clipboard
RET-86484,CA-2017-110884,Shahid Hopkins,2025-08-18,Changed Mind,6,23.77,Lenovo Laptop
RET-86484,CA-2017-110884,Shahid Hopkins,2025-08-18,Changed Mind,6,23.77,Water Bottle
RET-28131,US-2017-148054,Nick Zandusky,2026-03-20,Defective,1,20.97,Sneakers
RET-28131,US-2017-148054,Nick Zandusky,2026-03-20,Defective,1,20.97,Belt
RET-28131,US-2017-148054,Nick Zandusky,2026-03-20,Defective,1,20.97,Electric Kettle
RET-24371,CA-2017-131492,Hilary Holden,2026-04-06,Wrong Item,1,14.53,T-Shirt
RET-24371,CA-2017-131492,Hilary Holden,2026-04-06,Wrong Item,1,14.53,Tape Dispenser
RET-24371,CA-2017-131492,Hilary Holden,2026-04-06,Wrong Item,1,14.53,Dining Chair
RET-24371,CA-2017-131492,Hilary Holden,2026-04-06,Wrong Item,1,14.53,Headphones
RET-65333,CA-2017-119004,Janet Martin,2026-05-16,Defective,1,26.83,Clipboard
RET-65333,CA-2017-119004,Janet Martin,2026-05-16,Defective,1,26.83,Samsung Galaxy Phone
RET-65333,CA-2017-119004,Janet Martin,2026-05-16,Defective,1,26.83,Curtain
RET-71348,CA-2016-137848,William Brown,2024-06-20,Defective,7,40.98,MacBook
RET-71348,CA-2016-137848,William Brown,2024-06-20,Defective,7,40.98,Cabinet
RET-71348,CA-2016-137848,William Brown,2024-06-20,Defective,7,40.98,Bedsheet
RET-25014,CA-2017-158883,Cari Schnelling,2025-11-13,Defective,1,5.93,Office Desk
RET-54587,CA-2017-134439,Tamara Manning,2026-03-17,Damaged,2,15.22,Office Desk
RET-10425,CA-2017-131954,Darrin Sayre,2025-07-03,Not as Described,2,99.78,Toaster
RET-10425,CA-2017-131954,Darrin Sayre,2025-07-03,Not as Described,2,99.78,Shirt
RET-10425,CA-2017-131954,Darrin Sayre,2025-07-03,Not as Described,2,99.78,Calculator
RET-10425,CA-2017-131954,Darrin Sayre,2025-07-03,Not as Described,2,99.78,Trousers
